Actividad económica,Total,Hombres,Mujeres
"Agricultura, ganadería, silvicultura, caza y pesca",9.7,8.6,1.1
Industria extractiva y de la electricidad,0.6,0.5,0.2
Industria manufacturera,16.0,9.5,6.4
Construcción,7.9,7.6,0.3
Comercio,19.6,9.0,10.6
Restaurantes y servicios de alojamiento,8.2,3.2,5.0
"Transportes, comunicaciones, correo y almacenamiento",6.4,5.4,0.9
"Servicios profesionales, financieros y corporativos",8.4,5.0,3.4
Servicios sociales,8.3,3.0,5.4
Servicios diversos,10.1,4.5,5.6
Gobierno y organismos internacionales,4.0,2.2,1.8
No especificado,0.8,0.5,0.2
